Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,<30,30s,40s,50s,60s,70s,80+,Total_pop,<30_%,30s_%,40s_%,50s_%,60s_%,70s_%,80+_%,est_death_rate_%,deaths/confirmed_%,deaths/million
Ecuador,2020-04-11 22:45:13,-1.8312,-78.1834,7257,315,411,8440652.0,2006015.0,1569143.0,1126025.0,724576.0,405309.0,211779.0,14483499.0,58.27771314100274,13.85034790280995,10.834004959713118,7.774537078367596,5.002769013205994,2.798419083675844,1.4622088212247606,0.3564350921003275,4.34063662670525,21.748888165767127
Egypt,2020-04-11 22:45:13,26.820553000000004,30.802498,1939,146,426,57852249.0,13830704.0,9545234.0,7258467.0,4369561.0,1480236.0,462376.0,94798827.0,61.026334218249346,14.589530733328587,10.068936823448247,7.656705499109181,4.609298593958341,1.5614497002162273,0.4877444316900672,0.22668470465357132,7.529654461062403,1.5401034445289075
El Salvador,2020-04-11 22:45:13,13.7942,-88.8965,118,6,19,3722967.0,881082.0,716351.0,533641.0,371222.0,233437.0,179082.0,6637782.0,56.08751537787773,13.273741138229608,10.792023600654556,8.03944751424497,5.592560888561872,3.516792205589156,2.6979192748421084,0.48558422075325763,5.084745762711865,0.9039163985801282
Estonia,2020-04-11 22:45:13,58.5953,25.0136,1304,24,93,435656.0,188315.0,180698.0,172219.0,161075.0,109172.0,72324.0,1319459.0,33.017774709180046,14.272137292632813,13.694855239912721,13.052243381567749,12.207654803976478,8.273997145799909,5.48133742693028,1.01372896012684,1.8404907975460123,18.189273027809126
Eswatini,2020-04-11 22:45:13,-26.5225,31.4659,12,0,7,723352.0,114623.0,75156.0,47975.0,33569.0,15827.0,7223.0,1017725.0,71.07538873467783,11.262669188631506,7.384706084649586,4.71394531921688,3.2984352354516204,1.5551352280822421,0.709720209290329,0.204950354958363,0.0,0.0
Ethiopia,2020-04-11 22:45:13,9.145,40.4897,69,3,10,54003344.0,7996708.0,5120284.0,3061786.0,2040261.0,1026736.0,501813.0,73750932.0,73.22394786821135,10.842856873998555,6.942670229577573,4.151521773311285,2.7664206331656933,1.3921668135665053,0.6804158081690411,0.18474103486583737,4.3478260869565215,0.04067745204901275
Finland,2020-04-11 22:45:13,61.92411,25.748151,2905,49,300,1868556.0,702767.0,660703.0,734554.0,737233.0,514580.0,295104.0,5513497.0,33.890577976191885,12.746302392111577,11.983374616872014,13.32283304044602,13.37142289185974,9.333096580990249,5.352392501528522,1.0652877656412982,1.6867469879518073,8.88728152024024
France,2020-04-11 22:45:13,4.0,-53.0,130727,13851,26663,22751467.0,8035336.0,8388238.0,8532078.0,7803284.0,5331800.0,4031783.0,64873986.0,35.07024680123709,12.386067968754071,12.930048725540003,13.15177088085816,12.02837143381324,8.218702639914866,6.214791549882568,1.0592179768328094,10.59536285541625,213.50622728808432
Georgia,2020-04-11 22:45:13,42.3154,43.3569,242,3,60,1451499.0,524706.0,477608.0,506374.0,410695.0,234886.0,123865.0,3729633.0,38.918011504080965,14.068569213110244,12.805763998763418,13.577046320643346,11.011673266511746,6.297831448831561,3.3211042480587234,0.7562838756521084,1.2396694214876034,0.8043686872139966
Germany,2020-04-11 22:45:13,51.165691,10.451526,124908,2736,57400,25152920.0,10453462.0,10731644.0,13369561.0,10086747.0,7847332.0,5154554.0,82796220.0,30.379309586838627,12.625530489193832,12.96151442662479,16.14754997269199,12.182617757187465,9.477886792416369,6.225590975046928,1.1287081934416812,2.1904121433374963,33.04498683635557
Ghana,2020-04-11 22:45:13,7.9465,-1.0232,408,8,4,16433989.0,3100212.0,2124448.0,1356793.0,769720.0,557283.0,326687.0,24669132.0,66.6176215685254,12.567170989234643,8.611766315896318,5.4999624632111095,3.120174637680807,2.2590296245526593,1.3242744008990668,0.28246743744368463,1.9607843137254901,0.32429191266235063
Greece,2020-04-11 22:45:13,39.0742,21.8243,2081,93,269,3219441.0,1418805.0,1619329.0,1483863.0,1268304.0,990552.0,740871.0,10741165.0,29.972921931652664,13.209042035943028,15.075915880633058,13.814730525040813,11.807881174900487,9.222016420006582,6.897492031823364,1.153828229991812,4.469005285920231,8.65827868764701
Grenada,2020-04-11 22:45:13,12.1165,-61.679,14,0,0,53240.0,13664.0,12638.0,11060.0,6329.0,4124.0,1914.0,102969.0,51.7048820518797,13.270013304975285,12.273596907807203,10.741096834969747,6.146510114694713,4.005088910254543,1.8588118754188154,0.4667589274441823,0.0,0.0
Guinea,2020-04-11 22:45:13,9.9456,-9.6966,250,0,17,7496495.0,1143059.0,766196.0,509370.0,332162.0,180567.0,95412.0,10523261.0,71.23737594268545,10.86221276845647,7.280974975342719,4.840419714003103,3.156455019028797,1.715884458249206,0.906677122234258,0.22391547639082598,0.0,0.0
Guinea-Bissau,2020-04-11 22:45:13,11.8037,-15.1804,38,0,0,1059223.0,158462.0,100493.0,60075.0,37478.0,18964.0,11252.0,1445947.0,73.25462136579003,10.959046216770048,6.949978111230909,4.1547165974963125,2.5919345591505083,1.311528015895465,0.778175133666725,0.18583122341275302,0.0,0.0
Guyana,2020-04-11 22:45:13,4.860416000000002,-58.93018000000001,45,6,8,424988.0,104578.0,91070.0,66487.0,35348.0,17247.0,7237.0,746955.0,56.89606468930525,14.00057567055579,12.192166864135055,8.901071684371884,4.7322797223393644,2.3089744362110167,0.9688669330816447,0.301825545046221,13.333333333333334,8.03261240636986
Honduras,2020-04-11 22:45:13,15.2,-86.2419,392,24,7,5429371.185400001,1052106.68949,717581.1851300001,503964.299,325345.01313,184972.67247,91250.19327999999,8304591.2379,65.37794612481056,12.668976224723236,8.640776705000793,6.068502164200902,3.917652342058809,2.2273543293236724,1.0987921098820348,0.2792378147898342,6.122448979591836,2.8899676471094957
