Country_Region,Age,Values,relative_pop
Grenada,60s,6329.0,7.725702302927423e-05
Grenada,70s,4124.0,7.725702302927423e-05
Grenada,80+,1914.0,7.725702302927423e-05
Guinea,<30,7496495.0,0.007895539603376389
Guinea,30s,1143059.0,0.007895539603376389
Guinea,40s,766196.0,0.007895539603376389
Guinea,50s,509370.0,0.007895539603376389
Guinea,60s,332162.0,0.007895539603376389
Guinea,70s,180567.0,0.007895539603376389
Guinea,80+,95412.0,0.007895539603376389
Guinea-Bissau,<30,1059223.0,0.001084885360429935
Guinea-Bissau,30s,158462.0,0.001084885360429935
Guinea-Bissau,40s,100493.0,0.001084885360429935
Guinea-Bissau,50s,60075.0,0.001084885360429935
Guinea-Bissau,60s,37478.0,0.001084885360429935
Guinea-Bissau,70s,18964.0,0.001084885360429935
Guinea-Bissau,80+,11252.0,0.001084885360429935
Guyana,<30,424988.0,0.0005604358558093361
Guyana,30s,104578.0,0.0005604358558093361
Guyana,40s,91070.0,0.0005604358558093361
Guyana,50s,66487.0,0.0005604358558093361
Guyana,60s,35348.0,0.0005604358558093361
Guyana,70s,17247.0,0.0005604358558093361
Guyana,80+,7237.0,0.0005604358558093361
Honduras,<30,5429371.185400001,0.006230884989804206
Honduras,30s,1052106.68949,0.006230884989804206
Honduras,40s,717581.1851300001,0.006230884989804206
Honduras,50s,503964.299,0.006230884989804206
Honduras,60s,325345.01313,0.006230884989804206
Honduras,70s,184972.67247,0.006230884989804206
Honduras,80+,91250.19327999999,0.006230884989804206
Hungary,<30,3115475.0,0.007336653104679926
Hungary,30s,1323506.0,0.007336653104679926
Hungary,40s,1558261.0,0.007336653104679926
Hungary,50s,1207262.0,0.007336653104679926
Hungary,60s,1324480.0,0.007336653104679926
Hungary,70s,821456.0,0.007336653104679926
Hungary,80+,427931.0,0.007336653104679926
Iceland,<30,142984.0,0.00026143994478484403
Iceland,30s,49155.0,0.00026143994478484403
Iceland,40s,44224.0,0.00026143994478484403
Iceland,50s,43753.0,0.00026143994478484403
Iceland,60s,35378.0,0.00026143994478484403
Iceland,70s,20575.0,0.00026143994478484403
Iceland,80+,12381.0,0.00026143994478484403
India,<30,705808752.0,0.9051285542900236
India,30s,173735635.0,0.9051285542900236
India,40s,134756439.0,0.9051285542900236
India,50s,88215309.0,0.9051285542900236
India,60s,64118690.0,0.9051285542900236
India,70s,28441345.0,0.9051285542900236
India,80+,11289005.0,0.9051285542900236
Indonesia,<30,130686073.0,0.17830086138050544
Indonesia,30s,38335816.0,0.17830086138050544
Indonesia,40s,30565834.0,0.17830086138050544
Indonesia,50s,20009891.0,0.17830086138050544
Indonesia,60s,10752792.0,0.17830086138050544
Indonesia,70s,5434236.0,0.17830086138050544
Indonesia,80+,1856684.0,0.17830086138050544
Iran,<30,39245674.0,0.05996820093459187
Iran,30s,15638511.0,0.05996820093459187
Iran,40s,10351430.0,0.05996820093459187
Iran,50s,7276564.0,0.05996820093459187
Iran,60s,4254037.0,0.05996820093459187
Iran,70s,2064017.0,0.05996820093459187
Iran,80+,1096037.0,0.05996820093459187
Ireland,<30,1894762.0,0.003624214141969156
Ireland,30s,733791.0,0.003624214141969156
Ireland,40s,705708.0,0.003624214141969156
Ireland,50s,582705.0,0.003624214141969156
Ireland,60s,459496.0,0.003624214141969156
Ireland,70s,295945.0,0.003624214141969156
Ireland,80+,157985.0,0.003624214141969156
Israel,<30,4374894.0,0.006537510462033905
Israel,30s,1152735.0,0.006537510462033905
Israel,40s,1018136.0,0.006537510462033905
Israel,50s,799442.0,0.006537510462033905
Israel,60s,711310.0,0.006537510462033905
Israel,70s,404484.0,0.006537510462033905
Israel,80+,252264.0,0.006537510462033905
Italy,<30,17213699.0,0.04538076212222126
Italy,30s,7208084.0,0.04538076212222126
Italy,40s,9427258.0,0.04538076212222126
Italy,50s,9212746.0,0.04538076212222126
Italy,60s,7334964.0,0.04538076212222126
Italy,70s,5880222.0,0.04538076212222126
Italy,80+,4207000.0,0.04538076212222126
Japan,<30,33993000.0,0.09493394970205633
Japan,30s,14717000.0,0.09493394970205633
Japan,40s,18796000.0,0.09493394970205633
Japan,50s,15919000.0,0.09493394970205633
Japan,60s,17125000.0,0.09493394970205633
Japan,70s,14969000.0,0.09493394970205633
Japan,80+,11010000.0,0.09493394970205633
Jordan,<30,5998489.0,0.007160577859903392
Jordan,30s,1385590.0,0.007160577859903392
Jordan,40s,1034340.0,0.007160577859903392
Jordan,50s,594536.0,0.007160577859903392
Jordan,60s,302731.0,0.007160577859903392
Jordan,70s,163979.0,0.007160577859903392
Jordan,80+,64031.0,0.007160577859903392
Kazakhstan,<30,9121369.0,0.013712712302318417
Kazakhstan,30s,2825803.0,0.013712712302318417
Kazakhstan,40s,2232234.0,0.013712712302318417
Kazakhstan,50s,2000061.0,0.013712712302318417
Kazakhstan,60s,1291452.0,0.013712712302318417
Kazakhstan,70s,552974.5,0.013712712302318417
Kazakhstan,80+,252558.5,0.013712712302318417
Kenya,<30,27717749.0,0.028953103472927937
Kenya,30s,4528138.0,0.028953103472927937
Kenya,40s,2748914.0,0.028953103472927937
Kenya,50s,1668159.0,0.028953103472927937
Kenya,60s,984541.0,0.028953103472927937
Kenya,70s,557809.0,0.028953103472927937
Kenya,80+,383701.0,0.028953103472927937
Kuwait,<30,1532136.0,0.0023007022761606846
Kuwait,30s,744423.0,0.0023007022761606846
Kuwait,40s,477261.0,0.0023007022761606846
Kuwait,50s,211590.0,0.0023007022761606846
Kuwait,60s,68566.0,0.0023007022761606846
Kuwait,70s,24499.0,0.0023007022761606846
Kuwait,80+,7926.0,0.0023007022761606846
