Country_Region,Age,relative_pop,Values
Estonia,60+,0.0009899821727819358,342571.0
Eswatini,<30,0.0007635929625660939,723352.0
Eswatini,30s,0.0007635929625660939,114623.0
Eswatini,40s,0.0007635929625660939,75156.0
Eswatini,50s,0.0007635929625660939,47975.0
Eswatini,60+,0.0007635929625660939,56619.0
Ethiopia,<30,0.055334881876627315,54003344.0
Ethiopia,30s,0.055334881876627315,7996708.0
Ethiopia,40s,0.055334881876627315,5120284.0
Ethiopia,50s,0.055334881876627315,3061786.0
Ethiopia,60+,0.055334881876627315,3568810.0
Finland,<30,0.004136743725789649,1868556.0
Finland,30s,0.004136743725789649,702767.0
Finland,40s,0.004136743725789649,660703.0
Finland,50s,0.004136743725789649,734554.0
Finland,60+,0.004136743725789649,1546917.0
France,<30,0.048674562542151655,22751467.0
France,30s,0.048674562542151655,8035336.0
France,40s,0.048674562542151655,8388238.0
France,50s,0.048674562542151655,8532078.0
France,60+,0.048674562542151655,17166867.0
Georgia,<30,0.002798321267291526,1451499.0
Georgia,30s,0.002798321267291526,524706.0
Georgia,40s,0.002798321267291526,477608.0
Georgia,50s,0.002798321267291526,506374.0
Georgia,60+,0.002798321267291526,769446.0
Germany,<30,0.06212150720388521,25152920.0
Germany,30s,0.06212150720388521,10453462.0
Germany,40s,0.06212150720388521,10731644.0
Germany,50s,0.06212150720388521,13369561.0
Germany,60+,0.06212150720388521,23088633.0
Ghana,<30,0.018509101759133388,16433989.0
Ghana,30s,0.018509101759133388,3100212.0
Ghana,40s,0.018509101759133388,2124448.0
Ghana,50s,0.018509101759133388,1356793.0
Ghana,60+,0.018509101759133388,1653690.0
Greece,<30,0.008059031667455587,3219441.0
Greece,30s,0.008059031667455587,1418805.0
Greece,40s,0.008059031667455587,1619329.0
Greece,50s,0.008059031667455587,1483863.0
Greece,60+,0.008059031667455587,2999727.0
Grenada,<30,7.725702302927423e-05,53240.0
Grenada,30s,7.725702302927423e-05,13664.0
Grenada,40s,7.725702302927423e-05,12638.0
Grenada,50s,7.725702302927423e-05,11060.0
Grenada,60+,7.725702302927423e-05,12367.0
Guinea,<30,0.007895539603376389,7496495.0
Guinea,30s,0.007895539603376389,1143059.0
Guinea,40s,0.007895539603376389,766196.0
Guinea,50s,0.007895539603376389,509370.0
Guinea,60+,0.007895539603376389,608141.0
Guinea-Bissau,<30,0.001084885360429935,1059223.0
Guinea-Bissau,30s,0.001084885360429935,158462.0
Guinea-Bissau,40s,0.001084885360429935,100493.0
Guinea-Bissau,50s,0.001084885360429935,60075.0
Guinea-Bissau,60+,0.001084885360429935,67694.0
Guyana,<30,0.0005604358558093361,424988.0
Guyana,30s,0.0005604358558093361,104578.0
Guyana,40s,0.0005604358558093361,91070.0
Guyana,50s,0.0005604358558093361,66487.0
Guyana,60+,0.0005604358558093361,59832.0
Honduras,<30,0.006230884989804206,5429371.185400001
Honduras,30s,0.006230884989804206,1052106.68949
Honduras,40s,0.006230884989804206,717581.1851300001
Honduras,50s,0.006230884989804206,503964.299
Honduras,60+,0.006230884989804206,601567.87888
Hungary,<30,0.007336653104679926,3115475.0
Hungary,30s,0.007336653104679926,1323506.0
Hungary,40s,0.007336653104679926,1558261.0
Hungary,50s,0.007336653104679926,1207262.0
Hungary,60+,0.007336653104679926,2573867.0
Iceland,<30,0.00026143994478484403,142984.0
Iceland,30s,0.00026143994478484403,49155.0
Iceland,40s,0.00026143994478484403,44224.0
Iceland,50s,0.00026143994478484403,43753.0
Iceland,60+,0.00026143994478484403,68334.0
India,<30,0.9051285542900236,705808752.0
India,30s,0.9051285542900236,173735635.0
India,40s,0.9051285542900236,134756439.0
India,50s,0.9051285542900236,88215309.0
India,60+,0.9051285542900236,103849040.0
Indonesia,<30,0.17830086138050544,130686073.0
Indonesia,30s,0.17830086138050544,38335816.0
Indonesia,40s,0.17830086138050544,30565834.0
Indonesia,50s,0.17830086138050544,20009891.0
Indonesia,60+,0.17830086138050544,18043712.0
Iran,<30,0.05996820093459187,39245674.0
Iran,30s,0.05996820093459187,15638511.0
Iran,40s,0.05996820093459187,10351430.0
Iran,50s,0.05996820093459187,7276564.0
Iran,60+,0.05996820093459187,7414091.0
Ireland,<30,0.003624214141969156,1894762.0
Ireland,30s,0.003624214141969156,733791.0
Ireland,40s,0.003624214141969156,705708.0
Ireland,50s,0.003624214141969156,582705.0
Ireland,60+,0.003624214141969156,913426.0
Israel,<30,0.006537510462033905,4374894.0
Israel,30s,0.006537510462033905,1152735.0
Israel,40s,0.006537510462033905,1018136.0
Israel,50s,0.006537510462033905,799442.0
Israel,60+,0.006537510462033905,1368058.0
Italy,<30,0.04538076212222126,17213699.0
Italy,30s,0.04538076212222126,7208084.0
Italy,40s,0.04538076212222126,9427258.0
Italy,50s,0.04538076212222126,9212746.0
Italy,60+,0.04538076212222126,17422186.0
Japan,<30,0.09493394970205633,33993000.0
Japan,30s,0.09493394970205633,14717000.0
Japan,40s,0.09493394970205633,18796000.0
Japan,50s,0.09493394970205633,15919000.0
Japan,60+,0.09493394970205633,43104000.0
Jordan,<30,0.007160577859903392,5998489.0
Jordan,30s,0.007160577859903392,1385590.0
Jordan,40s,0.007160577859903392,1034340.0
Jordan,50s,0.007160577859903392,594536.0
Jordan,60+,0.007160577859903392,530741.0
Kazakhstan,<30,0.013712712302318417,9121369.0
Kazakhstan,30s,0.013712712302318417,2825803.0
Kazakhstan,40s,0.013712712302318417,2232234.0
Kazakhstan,50s,0.013712712302318417,2000061.0
Kazakhstan,60+,0.013712712302318417,2096985.0
Kenya,<30,0.028953103472927937,27717749.0
Kenya,30s,0.028953103472927937,4528138.0
Kenya,40s,0.028953103472927937,2748914.0
Kenya,50s,0.028953103472927937,1668159.0
Kenya,60+,0.028953103472927937,1926051.0
Kuwait,<30,0.0023007022761606846,1532136.0
Kuwait,30s,0.0023007022761606846,744423.0
Kuwait,40s,0.0023007022761606846,477261.0
Kuwait,50s,0.0023007022761606846,211590.0
Kuwait,60+,0.0023007022761606846,100991.0
Kyrgyzstan,<30,0.004794003521890547,3692968.0
Kyrgyzstan,30s,0.004794003521890547,953896.0
Kyrgyzstan,40s,0.004794003521890547,671759.0
Kyrgyzstan,50s,0.004794003521890547,570264.0
Kyrgyzstan,60+,0.004794003521890547,500613.0
Laos,<30,0.004872068611559319,4048833.0
Laos,30s,0.004872068611559319,916317.0
Laos,40s,0.004872068611559319,639777.0
Laos,50s,0.004872068611559319,465025.0
Laos,60+,0.004872068611559319,423594.0
Latvia,<30,0.001451390474817624,616828.0
Latvia,30s,0.001451390474817624,264821.0
Latvia,40s,0.001451390474817624,262146.0
Latvia,50s,0.001451390474817624,275831.0
Latvia,60+,0.001451390474817624,514803.0
Lebanon,<30,0.0028204556906265745,1965309.0
Lebanon,30s,0.0028204556906265745,526325.0
Lebanon,40s,0.0028204556906265745,441755.0
Lebanon,50s,0.0028204556906265745,323275.0
Lebanon,60+,0.0028204556906265745,502470.0
Liberia,<30,0.0026084781275894594,2468555.0
Liberia,30s,0.0026084781275894594,423168.0
Liberia,40s,0.0026084781275894594,274544.0
Liberia,50s,0.0026084781275894594,139400.0
Liberia,60+,0.0026084781275894594,170941.0
Libya,<30,0.003975171664060011,3358604.0
Libya,30s,0.003975171664060011,883628.0
Libya,40s,0.003975171664060011,480991.0
Libya,50s,0.003975171664060011,254896.0
Libya,60+,0.003975171664060011,320033.0
Liechtenstein,<30,2.864397409112065e-05,12254.0
Liechtenstein,30s,2.864397409112065e-05,4788.0
Liechtenstein,40s,2.864397409112065e-05,5730.0
Liechtenstein,50s,2.864397409112065e-05,6260.0
Liechtenstein,60+,2.864397409112065e-05,9145.0
Lithuania,<30,0.0021075015708023914,919678.0
Lithuania,30s,0.0021075015708023914,346610.0
Lithuania,40s,0.0021075015708023914,381161.0
Lithuania,50s,0.0021075015708023914,431278.0
Lithuania,60+,0.0021075015708023914,730174.0
Luxembourg,<30,0.0004517017485396872,212795.0
Luxembourg,30s,0.0004517017485396872,93391.0
Luxembourg,40s,0.0004517017485396872,91457.0
Luxembourg,50s,0.0004517017485396872,85824.0
Luxembourg,60+,0.0004517017485396872,118566.0
Malawi,<30,0.00981361669852949,9628698.0
Malawi,30s,0.00981361669852949,1450877.0
Malawi,40s,0.00981361669852949,784421.0
Malawi,50s,0.00981361669852949,527848.0
Malawi,60+,0.00981361669852949,687851.0
Malaysia,<30,0.022011221308550117,16347885.0
Malaysia,30s,0.022011221308550117,4404087.0
Malaysia,40s,0.022011221308550117,3521858.0
Malaysia,50s,0.022011221308550117,2624312.0
Malaysia,60+,0.022011221308550117,2438653.0
Maldives,<30,0.0004006126981059306,283538.041278
Maldives,30s,0.0004006126981059306,122193.122386
Maldives,40s,0.0004006126981059306,62425.071803000006
Maldives,50s,0.0004006126981059306,36364.86350100001
Maldives,60+,0.0004006126981059306,29419.859327000002
Mali,<30,0.010694054446520274,10418963.0
Mali,30s,0.010694054446520274,1464747.0
Mali,40s,0.010694054446520274,992490.0
Mali,50s,0.010694054446520274,664483.0
Mali,60+,0.010694054446520274,712469.0
Malta,<30,0.000356915606755905,160138.0
Malta,30s,0.000356915606755905,75127.0
Malta,40s,0.000356915606755905,61835.0
Malta,50s,0.000356915606755905,59051.0
Malta,60+,0.000356915606755905,119550.0
Mauritania,<30,0.0026540659911140027,2485496.0
Mauritania,30s,0.0026540659911140027,392482.0
Mauritania,40s,0.0026540659911140027,276149.0
Mauritania,50s,0.0026540659911140027,184210.0
Mauritania,60+,0.0026540659911140027,199031.0
Mauritius,<30,0.0009493492508425815,518323.0
Mauritius,30s,0.0009493492508425815,182428.0
Mauritius,40s,0.0009493492508425815,172181.0
Mauritius,50s,0.0009493492508425815,180356.0
Mauritius,60+,0.0009493492508425815,212015.0
Mexico,<30,0.09497048226727808,65598942.0
Mexico,30s,0.09497048226727808,18616022.0
Mexico,40s,0.09497048226727808,16029594.0
Mexico,50s,0.09497048226727808,12397632.0
Mexico,60+,0.09497048226727808,13935501.0
Moldova,<30,0.002030330831583277,1020041.0
Moldova,30s,0.002030330831583277,416064.0
Moldova,40s,0.002030330831583277,341298.0
Moldova,50s,0.002030330831583277,376707.0
Moldova,60+,0.002030330831583277,551937.0
Monaco,<30,2.799196859925967e-05,8923.122344
Monaco,30s,2.799196859925967e-05,3161.528869
Monaco,40s,2.799196859925967e-05,3855.000946
Monaco,50s,2.799196859925967e-05,5287.794748
Monaco,60+,2.799196859925967e-05,16080.553086799999
Mongolia,<30,0.002407084962029973,1763291.0
Mongolia,30s,0.002407084962029973,531995.0
Mongolia,40s,0.002407084962029973,408995.5
Mongolia,50s,0.002407084962029973,294755.5
Mongolia,60+,0.002407084962029973,209152.0
Montenegro,<30,0.00046695297470597085,233706.0
Montenegro,30s,0.00046695297470597085,90781.0
Montenegro,40s,0.00046695297470597085,82155.0
Montenegro,50s,0.00046695297470597085,83322.0
Montenegro,60+,0.00046695297470597085,132396.0
Morocco,<30,0.022711537476214863,17839185.0
Morocco,30s,0.022711537476214863,4094922.0
Morocco,40s,0.022711537476214863,3350153.0
Morocco,50s,0.022711537476214863,1986751.0
Morocco,60+,0.022711537476214863,2999173.0
Mozambique,<30,0.015195121431741565,14717617.0
Mozambique,30s,0.015195121431741565,2289141.0
Mozambique,40s,0.015195121431741565,1405501.0
Mozambique,50s,0.015195121431741565,917188.0
Mozambique,60+,0.015195121431741565,922776.0
N. Macedonia,<30,0.0015570701352076084,763779.0
N. Macedonia,30s,0.0015570701352076084,323960.0
N. Macedonia,40s,0.0015570701352076084,296101.0
N. Macedonia,50s,0.0015570701352076084,281173.0
N. Macedonia,60+,0.0015570701352076084,410267.0
Namibia,<30,0.0015854289975782002,1401824.0
Namibia,30s,0.0015854289975782002,273985.0
Namibia,40s,0.0015854289975782002,178591.0
Namibia,50s,0.0015854289975782002,109374.0
Namibia,60+,0.0015854289975782002,149303.0
