country,update,lat,long,confirmed,deaths,recovered,est_death_percent,deaths_per_conf_perc,over_sixty_perc
Spain,2020-04-15 22:56:32,40.463667,-3.74922,177644,18708,70853,1.036704487828324,10.5311747089685,25.018691685130456
Sri Lanka,2020-04-15 22:56:32,7.873054,80.77179699999998,238,7,63,0.4315784965720815,2.941176470588235,12.38978533543585
Saint Kitts and Nevis,2020-04-15 22:56:32,17.357822,-62.782998,14,0,0,0.4900767136847315,0.0,10.863647611977232
Saint Vincent and the Grenadines,2020-04-15 22:56:32,12.9843,-61.2872,12,0,1,0.5127425846775414,0.0,12.64558753744261
Sudan,2020-04-15 22:56:32,12.8628,30.2176,32,5,4,0.18093789884957293,15.625,4.727650381461709
Suriname,2020-04-15 22:56:32,3.9193,-56.0278,10,1,6,0.42463991769547327,10.0,11.779835390946502
Sweden,2020-04-15 22:56:32,60.128161,18.643501,11927,1203,381,1.0037312447666766,10.086358681982057,25.40307830583498
Switzerland,2020-04-15 22:56:32,46.8182,8.2275,26336,1239,15400,0.9730128487158092,4.70458687727825,24.13063158453252
United Republic of Tanzania,2020-04-15 22:56:32,-6.369028,34.888822,88,4,11,0.2290030588981623,4.545454545454546,5.58118875896491
Thailand,2020-04-15 22:56:32,15.870032,100.992541,2643,43,1497,0.48518037064855046,1.6269390843738174,12.894790339029718
East Timor,2020-04-15 22:56:32,-8.874217,125.727539,8,0,1,0.2748405558094797,0.0,8.190138411666355
Togo,2020-04-15 22:56:32,8.6195,0.8248,81,3,35,0.23319601696746609,3.7037037037037033,5.47030005479381
Trinidad and Tobago,2020-04-15 22:56:32,10.6918,-61.2225,114,8,19,0.48546427727544744,7.017543859649122,13.378723919014945
Tunisia,2020-04-15 22:56:32,33.886917,9.537499,780,35,43,0.45693241940340457,4.487179487179487,11.719038022616006
Turkey,2020-04-15 22:56:32,38.9637,35.2433,69392,1518,5674,0.41193705199902253,2.1875720544154946,10.912898310469524
United Arab Emirates,2020-04-15 22:56:32,23.424076,53.847818,5365,33,1034,0.10078990539414477,0.6150978564771669,1.4836865403874169
United Kingdom,2020-04-15 22:56:32,18.2206,-63.0686,99483,12894,368,0.9442838258795632,12.961008413497785,23.73376532450882
United States of America,2020-04-15 22:56:51,34.22333378,-82.46170658,636350,28325,52096,0.8264969355110081,4.451166810717373,22.240246564393694
Uganda,2020-04-15 22:56:32,1.373333,32.290275,55,0,12,0.17088111760909952,0.0,4.130479158877021
Ukraine,2020-04-15 22:56:32,48.3794,31.1656,3764,108,143,0.8514585698013911,2.869287991498406,22.928674830279515
Uruguay,2020-04-15 22:56:32,-32.5228,-55.7658,492,8,260,0.7655548493814445,1.6260162601626018,19.567697006452594
Uzbekistan,2020-04-15 22:56:32,41.377491,64.585262,1302,4,107,0.2697831700653098,0.30721966205837176,7.288211582588583
Venezuela,2020-04-15 22:56:32,6.4238,-66.5897,197,9,111,0.4042585499131273,4.568527918781726,10.977085391084245
Vietnam,2020-04-15 22:56:32,14.058324,108.277199,267,0,171,0.44835988289825407,0.0,11.858232491053018
Palestine,2020-04-15 22:56:32,31.9522,35.2332,374,2,63,0.1807361988372538,0.53475935828877,4.5221297303473875
Zambia,2020-04-15 22:56:32,-13.133897,27.849332,48,2,30,0.15442301819965468,4.166666666666666,3.933545696499093
Zimbabwe,2020-04-15 22:56:32,-19.015438,29.154857,23,3,1,0.23512240232458076,13.043478260869565,5.8189709408991055
